0,50,0.474606,0.753218,0.480625,40
1,50,0.49581,0.795899,0.509091,40
2,50,0.362634,0.654967,0.422857,40
3,50,0.562398,0.824277,0.533125,40
4,50,0.43977,0.734434,0.472222,40
0,50,0.380993,0.65959,0.465385,50
1,50,0.600121,0.833199,0.581818,50
2,50,0.465349,0.779812,0.448125,50
3,50,0.5751,0.837769,0.559231,50
4,50,0.525157,0.795819,0.529231,50
0,50,0.234154,0.603971,0.295882,60
1,50,0.485763,0.770268,0.511111,60
2,50,0.364336,0.634477,0.4675,60
3,50,0.6353,0.880738,0.577273,60
4,50,0.647439,0.865826,0.6,60
0,50,0.320144,0.619855,0.408,70
1,50,0.382282,0.703183,0.435,70
2,50,0.530094,0.795774,0.537273,70
