input_1,1,0,210.006
conv2d_1/convolution,1,21.845,206.296
batch_normalization_1/cond/Merge,1,53.8577,205.672
leaky_re_lu_1/sub,1,57.782,204.156
conv2d_2/convolution,1,69.0192,200.021
batch_normalization_2/cond/Merge,1,83.6124,199.995
leaky_re_lu_2/sub,1,86.3591,201.809
conv2d_3/convolution,1,92.0959,197.525
batch_normalization_3/cond/Merge,1,100.002,196.772
leaky_re_lu_3/sub,1,100.664,196.698
conv2d_4/convolution,1,101.623,196.53
batch_normalization_4/cond/Merge,1,106.716,199.029
leaky_re_lu_4/sub,1,105.947,195.817
conv2d_5/convolution,1,112.459,197.555
batch_normalization_5/cond/Merge,1,119.271,196.238
leaky_re_lu_5/sub,1,122.363,199.597
conv2d_6/convolution,1,130.603,198.375
batch_normalization_6/cond/Merge,1,135.888,199.71
leaky_re_lu_6/sub,1,133.036,194.653
conv2d_7/convolution,1,135.231,197.053
batch_normalization_7/cond/Merge,1,137.264,194.336
leaky_re_lu_7/sub,1,137.862,195.398
conv2d_8/convolution,1,145.662,196.056
batch_normalization_8/cond/Merge,1,149.572,194.698
leaky_re_lu_8/sub,1,151.645,196.736
conv2d_9/convolution,1,161.142,195.471
batch_normalization_9/cond/Merge,1,161.204,192.563
leaky_re_lu_9/sub,1,161.315,191.744
conv2d_10/convolution,1,164.227,194.282
batch_normalization_10/cond/Merge,1,166.411,194.485
leaky_re_lu_10/sub,1,164.377,191.09
conv2d_11/convolution,1,174.195,191.55
batch_normalization_11/cond/Merge,1,178.082,192.908
leaky_re_lu_11/sub,1,178.743,193.523
conv2d_12/convolution,1,181.097,193.535
batch_normalization_12/cond/Merge,1,181.912,192.634
leaky_re_lu_12/sub,1,180.713,189.951
conv2d_13/convolution,1,186.888,188.162
batch_normalization_13/cond/Merge,1,189.6,187.891
leaky_re_lu_13/sub,1,187.818,184.066
batch_normalization_22/cond/Merge,1,211.348,1.06191
leaky_re_lu_22/sub,1,209.996,0.931162
conv2d_22/convolution,1,212.575,11.5971
concatenate_1/concat,1,204.285,54.9572
conv2d_24/BiasAdd,1,212.831
input_1,1,0,214.739
conv2d_1/convolution,1,21.9675,215.282
batch_normalization_1/cond/Merge,1,53.9954,208.255
leaky_re_lu_1/sub,1,58.508,204.623
conv2d_2/convolution,1,70.879,203.55
batch_normalization_2/cond/Merge,1,83.6421,199.884
leaky_re_lu_2/sub,1,86.6353,201.809
conv2d_3/convolution,1,92.8957,199.054
batch_normalization_3/cond/Merge,1,101.61,199.502
leaky_re_lu_3/sub,1,101.232,196.77
conv2d_4/convolution,1,103.106,199.235
batch_normalization_4/cond/Merge,1,105.547,197.183
leaky_re_lu_4/sub,1,105.279,195.479
conv2d_5/convolution,1,112.769,197.619
batch_normalization_5/cond/Merge,1,120.341,198.368
leaky_re_lu_5/sub,1,121.319,197.551
conv2d_6/convolution,1,128.709,196.129
batch_normalization_6/cond/Merge,1,132.671,194.536
leaky_re_lu_6/sub,1,134.589,197.361
conv2d_7/convolution,1,133.841,194.811
batch_normalization_7/cond/Merge,1,136.15,193.641
leaky_re_lu_7/sub,1,136.68,193.699
conv2d_8/convolution,1,144.388,194.805
batch_normalization_8/cond/Merge,1,148.635,193.481
leaky_re_lu_8/sub,1,151.327,195.999
conv2d_9/convolution,1,160.939,195.277
batch_normalization_9/cond/Merge,1,160.931,192.289
leaky_re_lu_9/sub,1,160.841,191.327
conv2d_10/convolution,1,162.761,191.748
batch_normalization_10/cond/Merge,1,165.317,193.839
leaky_re_lu_10/sub,1,165.568,192.193
conv2d_11/convolution,1,173.828,190.924
batch_normalization_11/cond/Merge,1,175.955,190.539
leaky_re_lu_11/sub,1,177.575,191.012
conv2d_12/convolution,1,179.592,191.669
batch_normalization_12/cond/Merge,1,180.487,190.67
leaky_re_lu_12/sub,1,182.668,192.928
conv2d_13/convolution,1,189.901,191.132
batch_normalization_13/cond/Merge,1,186.914,184.844
leaky_re_lu_13/sub,1,186.772,183.999
batch_normalization_22/cond/Merge,1,211.479,1.18402
leaky_re_lu_22/sub,1,209.585,0.780585
conv2d_22/convolution,1,214.6,11.2989
concatenate_1/concat,1,202.739,55.0856
conv2d_24/BiasAdd,1,213.779
input_1,1,0,212.184
conv2d_1/convolution,1,22.5374,215.292
batch_normalization_1/cond/Merge,1,50.5157,207.534
leaky_re_lu_1/sub,1,58.2931,210.278
conv2d_2/convolution,1,70.6057,203.393
batch_normalization_2/cond/Merge,1,83.6668,200.082
leaky_re_lu_2/sub,1,85.1964,199.429
conv2d_3/convolution,1,92.2989,197.854
batch_normalization_3/cond/Merge,1,99.4985,197.727
leaky_re_lu_3/sub,1,101.759,198.607
conv2d_4/convolution,1,102.919,199.965
batch_normalization_4/cond/Merge,1,107.031,198.321
leaky_re_lu_4/sub,1,108.386,199.027
conv2d_5/convolution,1,112.151,197.85
batch_normalization_5/cond/Merge,1,119.673,195.671
leaky_re_lu_5/sub,1,120.527,195.838
conv2d_6/convolution,1,128.103,195.739
batch_normalization_6/cond/Merge,1,132.902,195.612
leaky_re_lu_6/sub,1,133.182,194.427
conv2d_7/convolution,1,133.594,193.726
batch_normalization_7/cond/Merge,1,135.627,193.941
leaky_re_lu_7/sub,1,138.295,195.754
conv2d_8/convolution,1,144.223,194.972
batch_normalization_8/cond/Merge,1,148.084,194.814
leaky_re_lu_8/sub,1,150.251,196.409
conv2d_9/convolution,1,156.939,191.859
batch_normalization_9/cond/Merge,1,159.981,191.923
leaky_re_lu_9/sub,1,160.878,192.196
conv2d_10/convolution,1,163.365,193.712
batch_normalization_10/cond/Merge,1,165.938,194.206
leaky_re_lu_10/sub,1,164.38,190.809
conv2d_11/convolution,1,173.5,191.071
batch_normalization_11/cond/Merge,1,175.813,190.2
leaky_re_lu_11/sub,1,177.031,191.261
conv2d_12/convolution,1,177.684,190.234
batch_normalization_12/cond/Merge,1,180.786,192.047
leaky_re_lu_12/sub,1,182.832,193.112
conv2d_13/convolution,1,187.415,188.157
