Mul,3,299,299
conv:0,32,149,149
conv_1:0,32,147,147
conv_2:0,64,147,147
pool:0,64,73,73
conv_3:0,80,73,73
conv_4:0,192,71,71
pool_1:0,192,35,35
mixed/join:0,256,35,35
mixed_1/join:0,288,35,35
mixed_2/join:0,288,35,35
mixed_3/join:0,768,17,17
mixed_4/join:0,768,17,17
mixed_5/join:0,768,17,17
mixed_6/join:0,768,17,17
mixed_7/join:0,768,17,17
mixed_8/join:0,1280,8,8
mixed_9/join:0,2048,8,8,
mixed_10/join:0,2048,8,8,
pool_3:0,2048,1,1
