mean=0_0_0,0.1948,0.1948,0.160828025478_0.21178343949_0.21178343949,0.160828025478_0.21178343949_0.21178343949,101,133,133,8,8,8
mean=0_0_1,0.1596,0.1436,0.160828025478_0.21178343949_0.106172157841,0.160828025478_0.21178343949_0.0580552040462,101,133,133,8,8,8
mean=0_0_2,0.1649,0.1263,0.160828025478_0.21178343949_0.1221,0.160828025478_0.21178343949_0.00622594521168,101,133,133,8,8,8
mean=0_0_3,0.1935,0.1273,0.160828025478_0.21178343949_0.2078,0.160828025478_0.21178343949_0.00925462731366,101,133,133,8,8,8
mean=0_0_4,0.1591,0.1242,0.160828025478_0.21178343949_0.1048,0.160828025478_0.21178343949_0.0,101,133,133,8,8,8
mean=0_1_1,0.1244,0.0923,0.160828025478_0.106172157841_0.106172157841,0.160828025478_0.0580552040462_0.0580552040462,101,133,133,8,8,8
mean=0_1_2,0.1297,0.075,0.160828025478_0.106172157841_0.1221,0.160828025478_0.0580552040462_0.00622594521168,101,133,133,8,8,8
mean=0_1_3,0.1583,0.076,0.160828025478_0.106172157841_0.2078,0.160828025478_0.0580552040462_0.00925462731366,101,133,133,8,8,8
mean=0_1_4,0.1239,0.073,0.160828025478_0.106172157841_0.1048,0.160828025478_0.0580552040462_0.0,101,133,133,8,8,8
mean=0_2_2,0.135,0.0578,0.160828025478_0.1221_0.1221,0.160828025478_0.00622594521168_0.00622594521168,101,133,133,8,8,8
mean=0_2_3,0.1636,0.0588,0.160828025478_0.1221_0.2078,0.160828025478_0.00622594521168_0.00925462731366,101,133,133,8,8,8
mean=0_2_4,0.1292,0.0557,0.160828025478_0.1221_0.1048,0.160828025478_0.00622594521168_0.0,101,133,133,8,8,8
mean=0_3_3,0.1921,0.0598,0.160828025478_0.2078_0.2078,0.160828025478_0.00925462731366_0.00925462731366,101,133,133,8,8,8
mean=0_3_4,0.1578,0.0567,0.160828025478_0.2078_0.1048,0.160828025478_0.00925462731366_0.0,101,133,133,8,8,8
mean=0_4_4,0.1235,0.0536,0.160828025478_0.1048_0.1048,0.160828025478_0.0_0.0,101,133,133,8,8,8
mean=1_1_1,0.1007,0.0523,0.0898926443965_0.106172157841_0.106172157841,0.0408993243048_0.0580552040462_0.0580552040462,101,133,133,8,8,8
mean=1_1_2,0.1061,0.0351,0.0898926443965_0.106172157841_0.1221,0.0408993243048_0.0580552040462_0.00622594521168,101,133,133,8,8,8
mean=1_1_3,0.1346,0.0361,0.0898926443965_0.106172157841_0.2078,0.0408993243048_0.0580552040462_0.00925462731366,101,133,133,8,8,8
mean=1_1_4,0.1003,0.033,0.0898926443965_0.106172157841_0.1048,0.0408993243048_0.0580552040462_0.0,101,133,133,8,8,8
mean=1_2_2,0.1114,0.0178,0.0898926443965_0.1221_0.1221,0.0408993243048_0.00622594521168_0.00622594521168,101,133,133,8,8,8
mean=1_2_3,0.1399,0.0188,0.0898926443965_0.1221_0.2078,0.0408993243048_0.00622594521168_0.00925462731366,101,133,133,8,8,8
mean=1_2_4,0.1056,0.0157,0.0898926443965_0.1221_0.1048,0.0408993243048_0.00622594521168_0.0,101,133,133,8,8,8
mean=1_3_3,0.1685,0.0198,0.0898926443965_0.2078_0.2078,0.0408993243048_0.00925462731366_0.00925462731366,101,133,133,8,8,8
mean=1_3_4,0.1342,0.0167,0.0898926443965_0.2078_0.1048,0.0408993243048_0.00925462731366_0.0,101,133,133,8,8,8
mean=1_4_4,0.0998,0.0136,0.0898926443965_0.1048_0.1048,0.0408993243048_0.0_0.0,101,133,133,8,8,8
mean=2_2_2,0.1221,0.0062,0.1221_0.1221_0.1221,0.00622594521168_0.00622594521168_0.00622594521168,133,133,133,8,8,8
mean=2_2_3,0.1507,0.0072,0.1221_0.1221_0.2078,0.00622594521168_0.00622594521168_0.00925462731366,133,133,133,8,8,8
