mean=1_1_1_1_2_4_4_5_5_5,0.4558,0.2706,0.600969713322_0.273385808506_0.273385808506_0.273385808506_0.2716_0.2665_0.2665_0.777323844583_0.777323844583_0.777323844583,0.0580552040462_0.23427037729_0.23427037729_0.23427037729_0.175458455966_0.18063002681_0.18063002681_0.469592105922_0.469592105922_0.469592105922,133,280,280,280,280,280,280,133,133,133,5,8,8,8,8,8,8,5,5,5
mean=0_0_1_1_3_4_4_4_5_5,0.3699,0.2995,0.364649681529_0.396496815287_0.273385808506_0.273385808506_0.2368_0.1347_0.1347_0.2428625_0.821220244371_0.821220244371,0.364649681529_0.396496815287_0.23427037729_0.23427037729_0.0455227613807_0.033400357462_0.033400357462_0.033400357462_0.809889289214_0.809889289214,229,249,280,280,249,249,249,249,229,229,8,8,8,8,8,8,8,7,8,8
mean=0_0_2_2_2_2_2_3_4_5,0.311,0.182,0.364649681529_0.364649681529_0.1523_0.1523_0.2582625_0.2582625_0.2582625_0.2368_0.2428625_0.821220244371,0.364649681529_0.364649681529_0.040412044374_0.040412044374_0.040412044374_0.040412044374_0.040412044374_0.0455227613807_0.033400357462_0.809889289214,229,229,249,249,249,249,249,249,249,229,8,8,8,8,7,7,7,8,7,8
mean=3_3_3_4_4_4_4_4_4_4,0.1636,0.0348,0.2191_0.2368_0.2368_0.1347_0.1347_0.1347_0.1347_0.1347_0.1347_0.1347,0.0233866933467_0.0455227613807_0.0455227613807_0.033400357462_0.033400357462_0.033400357462_0.033400357462_0.033400357462_0.033400357462_0.033400357462,229,249,249,249,249,249,249,249,249,249,8,8,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_1_2_2_2_2,0.3129,0.2215,0.364649681529_0.364649681529_0.364649681529_0.396496815287_0.396496815287_0.208583133978_0.2582625_0.2582625_0.2582625_0.2582625,0.364649681529_0.364649681529_0.364649681529_0.396496815287_0.396496815287_0.165979215216_0.040412044374_0.040412044374_0.040412044374_0.040412044374,229,229,229,249,249,249,249,249,249,249,8,8,8,8,8,8,7,7,7,7
mean=0_1_2_2_2_2_2_4_5_5,0.3538,0.2386,0.364649681529_0.208583133978_0.1523_0.1523_0.2582625_0.2582625_0.2582625_0.2428625_0.821220244371_0.821220244371,0.364649681529_0.165979215216_0.040412044374_0.040412044374_0.040412044374_0.040412044374_0.040412044374_0.033400357462_0.809889289214_0.809889289214,229,249,249,249,249,249,249,249,229,229,8,8,8,8,7,7,7,7,8,8
mean=0_1_1_2_2_2_3_4_4_4,0.188,0.0964,0.364649681529_0.208583133978_0.208583133978_0.1523_0.1523_0.1523_0.2368_0.1347_0.1347_0.1347,0.364649681529_0.165979215216_0.165979215216_0.040412044374_0.040412044374_0.040412044374_0.0455227613807_0.033400357462_0.033400357462_0.033400357462,229,249,249,249,249,249,249,249,249,249,8,8,8,8,8,8,8,8,8,8
mean=0_1_1_1_2_2_2_2_4_5,0.2664,0.1868,0.364649681529_0.208583133978_0.208583133978_0.208583133978_0.1523_0.1523_0.1523_0.1523_0.2428625_0.821220244371,0.364649681529_0.165979215216_0.165979215216_0.165979215216_0.040412044374_0.040412044374_0.040412044374_0.040412044374_0.033400357462_0.809889289214,229,249,249,249,249,249,249,249,249,229,8,8,8,8,8,8,8,8,7,8
mean=0_0_0_1_1_1_2_5_5_5,0.4814,0.3485,0.6708655596_0.445859872611_0.445859872611_0.273385808506_0.273385808506_0.273385808506_0.2716_0.688016223936_0.688016223936_0.783344599955,0.262738853503_0.445859872611_0.445859872611_0.23427037729_0.23427037729_0.23427037729_0.175458455966_0.483933363844_0.483933363844_0.483933363844,165,280,280,280,280,280,280,165,165,165,5,8,8,8,8,8,8,6,6,5
mean=0_0_1_1_2_2_2_4_5_5,0.3773,0.3024,0.558803457689_0.396496815287_0.273385808506_0.273385808506_0.2716_0.2716_0.2716_0.2665_0.594816230255_0.594816230255,0.313694267516_0.396496815287_0.23427037729_0.23427037729_0.175458455966_0.175458455966_0.175458455966_0.18063002681_0.569135922608_0.569135922608,197,249,280,280,280,280,280,280,197,197,6,8,8,8,8,8,8,8,8,8
