mean=0_0_0_0_0_0_0_0,0.3646,0.3646,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529,229,229,229,229,229,229,229,229,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_0_0_1,0.3418,0.3363,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.181756735318,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.137708685456,229,229,229,229,229,229,229,229,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_0_0_2,0.3364,0.3222,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.1385,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.0247905818429,229,229,229,229,229,229,229,229,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_0_0_3,0.3465,0.322,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.2191,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.0233866933467,229,229,229,229,229,229,229,229,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_0_0_4,0.3348,0.322,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.1257,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.0233467381591,229,229,229,229,229,229,229,229,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_0_1_1,0.3189,0.3079,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.181756735318_0.181756735318,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.137708685456_0.137708685456,229,229,229,229,229,229,229,229,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_0_1_2,0.3135,0.2938,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.181756735318_0.1385,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.137708685456_0.0247905818429,229,229,229,229,229,229,229,229,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_0_1_3,0.3236,0.2936,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.181756735318_0.2191,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.137708685456_0.0233866933467,229,229,229,229,229,229,229,229,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_0_1_4,0.3119,0.2936,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.181756735318_0.1257,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.137708685456_0.0233467381591,229,229,229,229,229,229,229,229,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_0_2_2,0.3081,0.2797,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.1385_0.1385,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.0247905818429_0.0247905818429,229,229,229,229,229,229,229,229,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_0_2_3,0.3182,0.2795,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.1385_0.2191,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.0247905818429_0.0233866933467,229,229,229,229,229,229,229,229,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_0_2_4,0.3065,0.2795,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.1385_0.1257,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.0247905818429_0.0233467381591,229,229,229,229,229,229,229,229,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_0_3_3,0.3283,0.2793,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.2191_0.2191,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.0233866933467_0.0233866933467,229,229,229,229,229,229,229,229,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_0_3_4,0.3166,0.2793,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.2191_0.1257,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.0233866933467_0.0233467381591,229,229,229,229,229,229,229,229,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_0_4_4,0.3049,0.2793,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.1257_0.1257,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.0233467381591_0.0233467381591,229,229,229,229,229,229,229,229,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_1_1_1,0.2998,0.2838,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.208583133978_0.208583133978_0.208583133978,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.165979215216_0.165979215216_0.165979215216,197,229,229,229,229,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_1_1_2,0.2927,0.2681,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.208583133978_0.208583133978_0.1523,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.165979215216_0.165979215216_0.040412044374,197,229,229,229,229,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_1_1_3,0.3033,0.2687,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.208583133978_0.208583133978_0.2368,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.165979215216_0.165979215216_0.0455227613807,197,229,229,229,229,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_1_1_4,0.2905,0.2672,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.208583133978_0.208583133978_0.1347,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.165979215216_0.165979215216_0.033400357462,197,229,229,229,229,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_1_2_2,0.2857,0.2524,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.208583133978_0.1523_0.1523,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.165979215216_0.040412044374_0.040412044374,197,229,229,229,229,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_1_2_3,0.2962,0.253,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.208583133978_0.1523_0.2368,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.165979215216_0.040412044374_0.0455227613807,197,229,229,229,229,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_1_2_4,0.2835,0.2515,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.208583133978_0.1523_0.1347,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.165979215216_0.040412044374_0.033400357462,197,229,229,229,229,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_1_3_3,0.3068,0.2537,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.208583133978_0.2368_0.2368,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.165979215216_0.0455227613807_0.0455227613807,197,229,229,229,229,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_1_3_4,0.294,0.2521,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.208583133978_0.2368_0.1347,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.165979215216_0.0455227613807_0.033400357462,197,229,229,229,229,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_1_4_4,0.2813,0.2506,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.208583133978_0.1347_0.1347,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.165979215216_0.033400357462_0.033400357462,197,229,229,229,229,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_2_2_2,0.2786,0.2367,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.1523_0.1523_0.1523,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.040412044374_0.040412044374_0.040412044374,197,229,229,229,229,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_2_2_3,0.2899,0.237,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.1385_0.1385_0.2191,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.0247905818429_0.0247905818429_0.0233866933467,229,229,229,229,229,229,229,229,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_2_2_4,0.2764,0.2358,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.1523_0.1523_0.1347,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.040412044374_0.040412044374_0.033400357462,197,229,229,229,229,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_2_3_3,0.2998,0.238,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.1523_0.2368_0.2368,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.040412044374_0.0455227613807_0.0455227613807,197,229,229,229,229,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_2_3_4,0.2883,0.2368,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.1385_0.2191_0.1257,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.0247905818429_0.0233866933467_0.0233467381591,229,229,229,229,229,229,229,229,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_2_4_4,0.2742,0.2349,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.1523_0.1347_0.1347,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.040412044374_0.033400357462_0.033400357462,197,229,229,229,229,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_3_3_3,0.3103,0.2386,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.2368_0.2368_0.2368,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.0455227613807_0.0455227613807_0.0455227613807,197,229,229,229,229,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_3_3_4,0.2976,0.2371,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.2368_0.2368_0.1347,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.0455227613807_0.0455227613807_0.033400357462,197,229,229,229,229,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_3_4_4,0.2867,0.2367,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.2191_0.1257_0.1257,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.0233866933467_0.0233467381591_0.0233467381591,229,229,229,229,229,229,229,229,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_4_4_4,0.272,0.2341,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.1347_0.1347_0.1347,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.033400357462_0.033400357462_0.033400357462,197,229,229,229,229,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_1_1_1_1,0.2739,0.2526,0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.208583133978_0.208583133978_0.208583133978_0.208583133978,0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.165979215216_0.165979215216_0.165979215216_0.165979215216,197,197,229,229,249,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_1_1_1_2,0.2668,0.2369,0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.208583133978_0.208583133978_0.208583133978_0.1523,0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.165979215216_0.165979215216_0.165979215216_0.040412044374,197,197,229,229,249,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_1_1_1_3,0.2774,0.2375,0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.208583133978_0.208583133978_0.208583133978_0.2368,0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.165979215216_0.165979215216_0.165979215216_0.0455227613807,197,197,229,229,249,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_1_1_1_4,0.2583,0.2296,0.21178343949_0.364649681529_0.364649681529_0.364649681529_0.208583133978_0.208583133978_0.208583133978_0.1347,0.21178343949_0.364649681529_0.364649681529_0.364649681529_0.165979215216_0.165979215216_0.165979215216_0.033400357462,133,229,229,229,249,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_1_1_2_2,0.2598,0.2212,0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.208583133978_0.208583133978_0.1523_0.1523,0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.165979215216_0.165979215216_0.040412044374_0.040412044374,197,197,229,229,249,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_1_1_2_3,0.2745,0.2254,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.208583133978_0.208583133978_0.1523_0.2191,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.165979215216_0.165979215216_0.040412044374_0.0233866933467,197,229,229,229,249,249,249,229,8,8,8,8,8,8,8,8
mean=0_0_0_0_1_1_2_4,0.2512,0.2139,0.21178343949_0.364649681529_0.364649681529_0.364649681529_0.208583133978_0.208583133978_0.1523_0.1347,0.21178343949_0.364649681529_0.364649681529_0.364649681529_0.165979215216_0.165979215216_0.040412044374_0.033400357462,133,229,229,229,249,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_1_1_3_3,0.2809,0.2225,0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.208583133978_0.208583133978_0.2368_0.2368,0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.165979215216_0.165979215216_0.0455227613807_0.0455227613807,197,197,229,229,249,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_1_1_3_4,0.2723,0.2245,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.208583133978_0.208583133978_0.2191_0.1347,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.165979215216_0.165979215216_0.0233866933467_0.033400357462,197,229,229,229,249,249,229,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_1_1_4_4,0.249,0.2131,0.21178343949_0.364649681529_0.364649681529_0.364649681529_0.208583133978_0.208583133978_0.1347_0.1347,0.21178343949_0.364649681529_0.364649681529_0.364649681529_0.165979215216_0.165979215216_0.033400357462_0.033400357462,133,229,229,229,249,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_1_2_2_2,0.2528,0.2055,0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.208583133978_0.1523_0.1523_0.1523,0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.165979215216_0.040412044374_0.040412044374_0.040412044374,197,197,229,229,249,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_1_2_2_3,0.2675,0.2097,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.208583133978_0.1523_0.1523_0.2191,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.165979215216_0.040412044374_0.040412044374_0.0233866933467,197,229,229,229,249,249,249,229,8,8,8,8,8,8,8,8
mean=0_0_0_0_1_2_2_4,0.2442,0.1982,0.21178343949_0.364649681529_0.364649681529_0.364649681529_0.208583133978_0.1523_0.1523_0.1347,0.21178343949_0.364649681529_0.364649681529_0.364649681529_0.165979215216_0.040412044374_0.040412044374_0.033400357462,133,229,229,229,249,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_1_2_3_3,0.2781,0.2104,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.208583133978_0.1523_0.2191_0.2368,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.165979215216_0.040412044374_0.0233866933467_0.0455227613807,197,229,229,229,249,249,229,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_1_2_3_4,0.2653,0.2089,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.208583133978_0.1523_0.2191_0.1347,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.165979215216_0.040412044374_0.0233866933467_0.033400357462,197,229,229,229,249,249,229,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_1_2_4_4,0.242,0.1974,0.21178343949_0.364649681529_0.364649681529_0.364649681529_0.208583133978_0.1523_0.1347_0.1347,0.21178343949_0.364649681529_0.364649681529_0.364649681529_0.165979215216_0.040412044374_0.033400357462_0.033400357462,133,229,229,229,249,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_1_3_3_3,0.2845,0.2074,0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.208583133978_0.2368_0.2368_0.2368,0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.165979215216_0.0455227613807_0.0455227613807_0.0455227613807,197,197,229,229,249,249,249,249,8,8,8,8,8,8,8,8
mean=0_0_0_0_1_3_3_4,0.2759,0.2095,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.208583133978_0.2191_0.2368_0.1347,0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.165979215216_0.0233866933467_0.0455227613807_0.033400357462,197,229,229,229,249,229,249,249,8,8,8,8,8,8,8,8
