0,70,0.167295,0.43202,0.312222,40
1,70,0.165678,0.429862,0.303333,40
2,70,0.322142,0.607696,0.429091,40
3,70,0.432089,0.695954,0.494545,40
4,70,0.583665,0.852655,0.531429,40
0,70,0.452645,0.730557,0.479231,50
1,70,0.394433,0.684138,0.436667,50
2,70,0.412203,0.671052,0.49,50
3,70,0.430882,0.732733,0.459,50
4,70,0.20003,0.471669,0.329167,50
0,70,0.303605,0.588843,0.404545,60
1,70,0.608163,0.853247,0.563,60
2,70,0.362313,0.672851,0.412941,60
3,70,0.453989,0.737211,0.471818,60
4,70,0.536976,0.786515,0.552727,60
0,70,0.302956,0.651035,0.356667,70
1,70,0.363352,0.665134,0.428,70
2,70,0.257329,0.540171,0.382,70
3,70,0.338483,0.635632,0.426364,70
4,70,0.469551,0.733425,0.521,70
