mean=0_0_0_0_0_0,0.3222,0.3222,0.262738853503_0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.364649681529,0.262738853503_0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.364649681529,165,197,197,197,229,229,8,8,8,8,8,8
mean=0_0_0_0_0_1,0.2917,0.2844,0.262738853503_0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.181756735318,0.262738853503_0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.137708685456,165,197,197,197,229,229,8,8,8,8,8,8
mean=0_0_0_0_0_2,0.2898,0.169,0.265724522293_0.310310509554_0.310310509554_0.310310509554_0.310310509554_0.2318375,0.160828025478_0.21178343949_0.21178343949_0.21178343949_0.21178343949_0.00622594521168,101,133,133,133,133,133,7,7,7,7,7,7
mean=0_0_0_0_0_3,0.2979,0.2653,0.262738853503_0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.2191,0.262738853503_0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.0233866933467,165,197,197,197,229,229,8,8,8,8,8,8
mean=0_0_0_0_0_4,0.2873,0.168,0.265724522293_0.310310509554_0.310310509554_0.310310509554_0.310310509554_0.2167,0.160828025478_0.21178343949_0.21178343949_0.21178343949_0.21178343949_0.0,101,133,133,133,133,133,7,7,7,7,7,7
mean=0_0_0_0_1_1,0.269,0.222,0.310310509554_0.262738853503_0.310310509554_0.313694267516_0.208583133978_0.208583133978,0.21178343949_0.262738853503_0.21178343949_0.313694267516_0.165979215216_0.165979215216,133,165,133,197,249,249,7,8,7,8,8,8
mean=0_0_0_0_1_2,0.2597,0.2011,0.310310509554_0.262738853503_0.310310509554_0.313694267516_0.208583133978_0.1523,0.21178343949_0.262738853503_0.21178343949_0.313694267516_0.165979215216_0.040412044374,133,165,133,197,249,249,7,8,7,8,8,8
mean=0_0_0_0_1_3,0.2737,0.2019,0.310310509554_0.262738853503_0.310310509554_0.313694267516_0.208583133978_0.2368,0.21178343949_0.262738853503_0.21178343949_0.313694267516_0.165979215216_0.0455227613807,133,165,133,197,249,249,7,8,7,8,8,8
mean=0_0_0_0_1_4,0.2567,0.1999,0.310310509554_0.262738853503_0.310310509554_0.313694267516_0.208583133978_0.1347,0.21178343949_0.262738853503_0.21178343949_0.313694267516_0.165979215216_0.033400357462,133,165,133,197,249,249,7,8,7,8,8,8
mean=0_0_0_0_2_2,0.2503,0.1801,0.310310509554_0.262738853503_0.310310509554_0.313694267516_0.1523_0.1523,0.21178343949_0.262738853503_0.21178343949_0.313694267516_0.040412044374_0.040412044374,133,165,133,197,249,249,7,8,7,8,8,8
mean=0_0_0_0_2_3,0.2776,0.1917,0.310310509554_0.262738853503_0.313694267516_0.313694267516_0.2461875_0.2191,0.21178343949_0.262738853503_0.313694267516_0.313694267516_0.0247905818429_0.0233866933467,133,165,197,197,229,229,7,8,8,8,7,8
mean=0_0_0_0_2_4,0.2742,0.1337,0.265724522293_0.310310509554_0.310310509554_0.310310509554_0.2318375_0.2167,0.160828025478_0.21178343949_0.21178343949_0.21178343949_0.00622594521168_0.0,101,133,133,133,133,133,7,7,7,7,7,7
mean=0_0_0_0_3_3,0.2737,0.2084,0.262738853503_0.313694267516_0.313694267516_0.313694267516_0.2191_0.2191,0.262738853503_0.313694267516_0.313694267516_0.313694267516_0.0233866933467_0.0233866933467,165,197,197,197,229,229,8,8,8,8,8,8
mean=0_0_0_0_3_4,0.2758,0.1914,0.310310509554_0.262738853503_0.313694267516_0.313694267516_0.2191_0.2349875,0.21178343949_0.262738853503_0.313694267516_0.313694267516_0.0233866933467_0.0233467381591,133,165,197,197,229,229,7,8,8,8,8,7
mean=0_0_0_0_4_4,0.2717,0.1327,0.265724522293_0.310310509554_0.310310509554_0.310310509554_0.2167_0.2167,0.160828025478_0.21178343949_0.21178343949_0.21178343949_0.0_0.0,101,133,133,133,133,133,7,7,7,7,7,7
mean=0_0_0_1_1_1,0.2222,0.2002,0.262738853503_0.262738853503_0.262738853503_0.181756735318_0.181756735318_0.181756735318,0.262738853503_0.262738853503_0.262738853503_0.137708685456_0.137708685456_0.137708685456,165,165,165,229,229,229,8,8,8,8,8,8
mean=0_0_0_1_1_2,0.215,0.1814,0.262738853503_0.262738853503_0.262738853503_0.181756735318_0.181756735318_0.1385,0.262738853503_0.262738853503_0.262738853503_0.137708685456_0.137708685456_0.0247905818429,165,165,165,229,229,229,8,8,8,8,8,8
